"","magnitude","time"
"1",1.937,40.34702
"2",0.08127,40.34865
"3",0.48766,41.83098
"4",0.41657,42.19296
"5",0.21797,42.19755
"6",0.64104,100.48016
"7",0.24994,100.53983
"8",0.06427,128.51588
"9",0.38534,145.92125
"10",1.44745,145.92168
"11",0.0203799999999998,145.929
"12",0.44207,145.95071
"13",0.21165,145.95512
"14",0.51425,145.96289
"15",0.13094,147.65329
"16",0.3055,147.68475
"17",0.22468,148.04519
"18",0.668,148.13208
"19",0.11433,160.15589
"20",0.27936,160.16504
"21",0.0801799999999999,160.16877
"22",1.77059,160.17198
"23",0.40832,160.17412
"24",0.10264,160.17434
"25",0.74452,160.17918
"26",0.0555699999999999,160.20182
"27",0.4834,160.21622
"28",0.37857,160.23405
"29",0.21937,160.30471
"30",0.33861,160.39157
"31",1.8728,162.34433
"32",0.33505,162.3696
"33",0.43581,162.36978
"34",0.74375,162.63466
"35",0.10139,162.63538
"36",0.000729999999999897,162.67074
"37",1.30811,162.67343
"38",1.10459,162.88541
"39",0.63423,165.13768
"40",0.76209,165.6122
"41",0.2242,192.68475
"42",0.30597,192.6856
"43",0.2246,192.70778
"44",0.10604,192.73593
"45",1.00035,192.78031
"46",0.1763,193.108
"47",0.29584,194.62594
"48",0.13111,194.63236
"49",0.4018,207.31579
"50",0.21623,207.77172
"51",0.39855,207.77532
"52",0.11264,208.74356
"53",0.00690999999999997,214.13044
"54",0.0296699999999999,214.13483
"55",0.25247,238.72329
"56",0.0930599999999999,289.5621
"57",0.0430000000000001,318.58488
"58",0.20185,318.58509
"59",1.12403,318.58732
"60",0.61404,318.58937
"61",0.56979,318.59003
"62",0.0119099999999999,318.59019
"63",0.24921,318.59416
"64",0.0783999999999998,318.63906
"65",0.87097,318.68279
"66",2.1041,367.97806
"67",0.67823,368.17389
"68",0.19879,368.18439
"69",0.58716,372.03668
"70",0.0353699999999999,372.12352
"71",0.28974,560.57912
"72",0.41699,560.77739
"73",2.61117,562.07734
"74",0.74335,562.08172
"75",0.0854900000000001,562.09156
"76",1.03587,562.16501
"77",0.45964,562.19498
"78",0.0483600000000002,562.19544
"79",1.64408,562.19746
"80",0.44726,562.43231
"81",0.28498,562.4325
"82",0.58835,562.44163
"83",2.30056,562.77523
"84",0.26079,562.78377
"85",0.29971,621.17482
"86",0.85064,621.79425
"87",0.0515699999999999,703.723
"88",0.14294,712.60525
"89",0.34216,720.92429
"90",0.0519500000000002,721.08611
"91",0.33742,727.21523
"92",0.0514100000000002,729.97692
"93",0.35128,737.41547
"94",0.0381499999999999,737.41556
"95",0.22092,738.07279
"96",0.18614,738.18667
"97",0.19522,770.57322
"98",0.55768,799.95668
"99",1.27088,799.9833
"100",0.67973,799.99078
